iso_code,year,model_fuel,generation_twh,capacity_gw,emissions_mtco2,irena_capacity_gw,irena_generation_twh,r10
AFG,2007,hydro,0.75,0.2,0.02,0.196457,0.69179,R10INDIA+
AFG,2007,nuclear,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2007,oil,0.11,0.05,0.07,0.052013,0.31035799999999997,R10INDIA+
AFG,2007,solar,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2007,windon,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2008,bioenergy,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2008,coal,0.13,0.0,0.12,0.0,0.0,R10INDIA+
AFG,2008,gas,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2008,hydro,0.54,0.21,0.01,0.207701,0.591895,R10INDIA+
AFG,2008,nuclear,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2008,oil,0.11,0.06,0.07,0.058110999999999996,0.29507500000000003,R10INDIA+
AFG,2008,solar,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2008,windon,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2009,bioenergy,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2009,coal,0.06,0.0,0.06,0.0,0.0,R10INDIA+
AFG,2009,gas,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2009,hydro,0.78,0.21,0.02,0.212901,0.753827,R10INDIA+
AFG,2009,nuclear,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2009,oil,0.05,0.13,0.03,0.130111,0.1926,R10INDIA+
AFG,2009,solar,0.0,0.0,0.0,2e-06,4e-06,R10INDIA+
AFG,2009,windon,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2010,bioenergy,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2010,coal,0.06,0.0,0.06,0.0,0.0,R10INDIA+
AFG,2010,gas,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2010,hydro,0.75,0.24,0.02,0.24134999999999998,0.803139,R10INDIA+
AFG,2010,nuclear,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2010,oil,0.07,0.17,0.05,0.169311,0.1793,R10INDIA+
AFG,2010,solar,0.0,0.0,0.0,0.000102,0.00017999999999999998,R10INDIA+
AFG,2010,windon,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2011,bioenergy,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2011,coal,0.1,0.0,0.09,0.0,0.0,R10INDIA+
AFG,2011,gas,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2011,hydro,0.6,0.24,0.01,0.24479900000000002,0.6823440000000001,R10INDIA+
AFG,2011,nuclear,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2011,oil,0.07,0.23,0.05,0.230911,0.23485,R10INDIA+
AFG,2011,solar,0.0,0.0,0.0,0.00011999999999999999,0.000212,R10INDIA+
AFG,2011,windon,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2012,bioenergy,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2012,coal,0.07,0.0,0.06,0.0,0.0,R10INDIA+
AFG,2012,gas,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2012,hydro,0.71,0.27,0.02,0.273248,0.736146,R10INDIA+
AFG,2012,nuclear,0.0,0.0,0.0,0.0,0.0,R10INDIA+
